person_id,principal,investment_type,interest,time_period,avg_past_return,volatility,fees,risk_score,market_condition,inflation_rate,economic_index,realized_roi
103,82217.28756642032,mutual_fund,0.018131705703547926,8.728673384861883,0.1904460046972835,0.43068209512170635,0.001596950334578271,8,bull,0.05591950905182219,86.24074561769746,0.008485956072820738
21,74049.4610227607,real_estate,0.05090025079493054,3.980437511290071,0.13242799368681435,0.47540205760794785,0.006790539682592432,9,bear,0.037473748411882515,104.47411578889518,-0.11355595158826279
55,37200.53852771336,gold,0.14284397521546666,9.673504314208314,0.27335893924658444,0.19667598612055498,0.003832491306185132,5,bear,0.056452691114086295,86.82096494749166,0.06747819717280848
199,332948.5307552211,real_estate,0.053639550652517534,5.440646201189203,0.16868411173731185,0.12721558420480567,0.029117954205172197,3,neutral,0.07455922412472692,90.35119926400068,0.10115666830199999
44,480780.1520529278,gold,0.12823473881494118,7.599541046305118,0.16587685295563187,0.36031567608503196,0.028992403910660002,8,neutral,0.05422663846432396,100.83337040103295,-0.04469657288103614
157,150276.64648542888,mutual_fund,0.011971175180111824,2.3890028388436493,0.23453678109945997,0.47830181350809925,0.01857283926864933,7,bull,0.04540408884238217,95.7952607270228,0.023787240055397812
41,336076.4200684856,gold,0.10322912992644952,6.117328983223407,0.05988871719602565,0.3455211869916667,0.012104879367859905,2,neutral,0.025724606989424678,94.83273008793066,-0.100360038925145
142,20557.446914933455,bonds,0.09909745757692924,3.4863818202251036,0.15342827646588109,0.5463885548771339,0.008229474645317373,10,bear,0.02152514760464571,84.31565707973218,-0.10336524010192007
143,465200.3379095737,mutual_fund,0.12313685313901836,6.517335686849023,0.29858423607508705,0.48612980460148636,0.0064105317076950386,7,bull,0.03738508717482608,86.44885149016018,0.09314285192560812
92,409917.3091316341,bonds,0.13050228165588806,0.5660452400463116,0.15429892103102627,0.2620983818262918,0.0074411265036511765,1,neutral,0.0336761097525165,97.08431154505026,0.009147189432799605
51,204898.9046737302,stocks,0.019084914595257418,2.9121964323762746,0.048750425135440464,0.42385647824707723,0.02165584710780882,6,bull,0.03312585317438421,102.32408008069365,-0.07921767322488353
129,337707.0959659099,stocks,0.11662674614602045,2.7575566679277967,0.24128653944474382,0.23331421697716684,0.019336869087213805,10,bull,0.07913902724663605,89.68221086046002,0.13935544587051257
198,349427.33936148655,bonds,0.13017023267392078,3.596609599417905,0.03809641902621931,0.43246672881405035,0.024475530338051745,1,neutral,0.029043052637925768,100.32795106962874,-0.16762681701896123
161,61169.39301409159,bonds,0.1394571065589988,8.83472385711932,0.05317665108606223,0.40279074669982384,0.024699443805835258,8,bear,0.028251256648759597,93.64265404201034,-0.13378951333127806
60,172819.74656910685,stocks,0.05888934044577252,7.396578949267274,0.3088441039810308,0.534510126073768,0.023616390829871093,5,neutral,0.07402508342979983,105.32405829093072,-0.014863132711156132
200,486963.5991938821,mutual_fund,0.04974893646324519,3.400956673271738,0.1442455014344906,0.28008600293202346,0.0298392664157138,3,bear,0.04233696599370458,117.60533769831113,-0.057683043701056584
161,361865.262504804,stocks,0.05312851085933449,5.654132190271543,0.15352563073550396,0.38907291854781934,0.00826339273956194,4,bear,0.0419881270749716,109.7668209222625,-0.0505715404427138
51,336117.4095332343,mutual_fund,0.13098345911006642,2.686760048294775,0.14967735195390092,0.3517624355413262,0.02328806641488296,2,bear,0.041004704461680544,105.80413448122259,-0.07651003713399607
17,476770.56427685684,gold,0.056305042653871915,5.751267184937154,0.1789169876683353,0.5885923185553065,0.003185041424177718,5,bear,0.07300964133597554,109.90875095589655,-0.18339991947506165
161,465358.33323136176,bonds,0.019858258318936145,2.484727817345922,0.21845740672962022,0.22801513315177505,0.008370745823022423,9,bull,0.04368148800856833,113.76852562905245,0.08524075636114657
130,150327.96291092422,bonds,0.12331056176699189,8.196077249452216,0.2968289274320415,0.5496795204827534,0.015828929566967194,9,neutral,0.06214904503922655,94.3796460487902,0.04500157555303653
65,51521.06022123015,stocks,0.09095921973946434,0.8414516010690498,0.13623920725298405,0.33473388813039445,0.009309696311720246,3,bull,0.04027970941109214,95.02331810559775,0.012944095998926233
58,67894.95376268297,mutual_fund,0.0831140564076726,7.8149387544368025,0.036328410998737265,0.3812764759750201,0.0034750764848192717,10,bull,0.0693560336395795,94.40762565645052,-0.025293182312241345
47,398617.16641050833,crypto,0.04791651517669039,4.670228496703543,-0.01861744746309362,0.034703431180965354,0.028916804025659826,2,bull,0.05097802089807171,92.91825891764984,0.07492054152841529
23,128870.23459147468,bonds,0.08689173305885685,7.2886612656505925,0.21407895068709248,0.18236166022864683,0.028691093139232626,1,bear,0.03039765920425075,86.25748170684344,0.01081933365419028
